Behavior,24_orig
Hang Cuddled,Hang
Land Vertically,land
Remain RearUp,rear
Come Down,ComeDown
Rear Up,rear
Jump,Jump
Walk Right,walk
Come Down From Partially Reared,ComeDown
Walk Slowly,walk
Rear up To Partially Reared,rear
Sniff,sniff
Rear up From Partially Reared,rear
"(CDtoPR, CDfromPR)",ComeDown
Turn,Turn
Eat Zone1,eat
Come Down To Partially Reared,ComeDown
Walk Left,walk
"(RUtoPR, RUfromPR, RemainRU)",rear
Remain Partially Reared,rear
"(RUfromPR, RemainRU)",rear
Stretch Body,stretch
Unknown Behavior,Unknown
Remain Low,Remain Low
"(RUtoPR, RUfromPR)",rear
"(RearUp, RemainRU)",rear
Hang Vertically From Rear Up,Hang
Forage,Forage
Drink Spout1,drink
Dig,Dig
Chew,Chew
"(HVfromRU, RemainHV)",Hang
"(HangCudl, RemainHC)",Hang
"(HVfromHC, RemainHV)",Hang
"(HVfromHC, RemainHV, HVfromHC, RemainHV)",Hang
Remain Hang Vertically,Hang
"(RearUp, RemainRU, RUfromPR)",rear
Groom,Grooming
Stationary,Stationary
Hang Vertically From HangCuddled,Hang
"(HangCudl, RemainHC, HangCudl, RemainHC)",Hang
Remain Hang Cuddled,Hang
"(RUtoPR, RemainRU)",rear
"(HVfromRU, RemainHV, HVfromRU)",Hang
"(HangCudl, RemainHC, HangCudl, RemainHC, HangCudl, RemainHC)",Hang
"(HVfromHC, RemainHV, HVfromHC, RemainHV, HVfromHC, RemainHV)",Hang
"(HVfromHC, RemainHV, HVfromHC)",Hang
Pause,Pause
"(HVfromRU, HVfromHC)",Hang
"(RemainRU, RUfromPR)",rear
"(HVfromRU, HVfromHC, RemainHV)",Hang
"(HangCudl, RemainHC, HangCudl, RemainHC, HangCudl, RemainHC, HangCudl, RemainHC)",Hang
"(RUtoPR, RUfromPR, RemainRU, RUfromPR)",rear
"(HVfromRU, RemainHV, HVfromHC)",Hang
"(RemainHV, HVfromRU, RemainHV)",Hang
Sleep,Sleep
Awaken,Awaken
Twitch,Twitch
No Data,no_data
"ComeDown(CDtoPR, ComeDown)",ComeDown
"(HangCudl, RemainHC, HangCudl, RemainHC, HangCudl)",Hang
"(HangCudl, RemainHC, HangCudl)",Hang
"(HVfromRU, RemainHV, HVfromRU, RemainHV)",Hang
"(RemainHV, HVfromHC, RemainHV)",Hang
Repetitive Jumping,Jump
"(RUtoPR, RearUp, RemainRU)",rear
"(HVfromRU, RemainHV, HVfromRU, RemainHV, HVfromRU)",Hang
"(RemainHV, HVfromHC)",Hang
"(HVfromRU, HVfromHC, RemainHV, HVfromHC)",Hang
"(RemainHC, HangCudl, RemainHC)",Hang
"RearUp(RUtoPR, RearUp)",rear
"(RemainHC, HangCudl, RemainHC, HangCudl, RemainHC)",Hang
"(RemainHV, HVfromHC, RemainHV, HVfromHC, RemainHV)",Hang
"(RemainHV, HVfromRU)",Hang
